Headquarter,Size,Founded,Type,Industry,Revenue,Employer,Job_Title,Basic_Pay,Additional_Pay,Avg_Pay,Avg_Pay_Num,Avg_Pay_Text,Max_Pay,Min_Pay,Rating,Positive,Negative,Neutral,Online,Campus,Refferal,City
"Pune, India",501 to 1000 Employees,2006,Company - Private,Consulting,$25 to $50 million (USD),SG Analytics,SG Analytics Junior Data Scientist Salaries in Pune Area,"₹ 4,32,692 - ₹ 9,69,591",NA,NA,"₹4,32,692-₹9,69,591","Junior Data Scientist salaries at SG Analytics can range from ₹4,32,692-₹9,69,591",NA,NA,3.6,59%,22%,19%,32%,18%,16%,Pune
"Pune, India",51 to 200 Employees,null,Company - Private,IT Services,Unknown / Non-Applicable,Maxgen Technologies,Maxgen Technologies Junior Data Scientist Monthly Pay in Pune Area,"₹ 12,388 - ₹ 15,626",NA,NA,"₹12,388-₹15,626","Junior Data Scientist salaries at Maxgen Technologies can range from ₹12,388-₹15,626",NA,NA,4.6,57%,28%,14%,64%,15%,8%,Pune
"Durham, NC",201 to 500 Employees,2012,Company - Private,IT Services,Unknown / Non-Applicable,CoreCompete,CoreCompete Lead Data Scientist Salaries in Pune Area,"₹ 28,45,182 - ₹ 31,46,880",NA,NA,"₹28,45,182-₹31,46,880","Lead Data Scientist salaries at CoreCompete can range from ₹28,45,182-₹31,46,880",NA,NA,4.4,45%,55%,36%,27%,18%,,Pune
"Houston, TX",10000+ Employees,1926,Company - Public (SLB),Oil & Gas Services,$10+ billion (USD),Schlumberger,Schlumberger Data Science Lead Salaries in Pune Area,"₹ 33,39,155 - ₹ 67,95,945","₹ 6,07,887",NA,"₹33,39,155-₹67,95,945","Data Science Lead salaries at Schlumberger can range from ₹33,39,155-₹67,95,945",NA,NA,3.7,73%,9%,17%,51%,26%,10%,Pune
"Mumbai, India",10000+ Employees,null,Company - Public (MNM),Transportation Equipment Manufacturing,$10+ billion (USD),Mahindra,Mahindra Data Science Salaries,"₹ 1,93,139 - ₹ 2,70,003",NA,NA,"₹1,93,139-₹2,70,003","Data Science salaries at Mahindra can range from ₹1,93,139-₹2,70,003",NA,NA,4,78%,9%,13%,52%,14%,11%,Pune
"Pune, India",201 to 500 Employees,2013,Company - Private,IT Services,$25 to $50 million (USD),Datametica,Datametica Data Science Salaries in Pune Area,"₹ 2,15,885 - ₹ 2,32,568",NA,NA,"₹2,15,885-₹2,32,568","Data Science salaries at Datametica can range from ₹2,15,885-₹2,32,568",NA,NA,3.6,79%,17%,3%,38%,26%,14%,Pune
"San Jose, CA",51 to 200 Employees,2015,Company - Private,IT Services,Unknown / Non-Applicable,DemandMatrix,DemandMatrix Data Science Salaries in Pune Area,"₹ 4,12,609 - ₹ 4,43,683",NA,NA,"₹4,12,609-₹4,43,683","Data Science salaries at DemandMatrix can range from ₹4,12,609-₹4,43,683",NA,NA,4.4,50%,50%,67%,33%,,,Pune
"Irvine, CA",1 to 50 Employees,null,Company - Private,Logistics & Supply Chain,Less than $1 million (USD),Express Analytics,Express Analytics Data Science Salaries in Pune Area,"₹ 2,33,855 - ₹ 2,57,161",NA,NA,"₹2,33,855-₹2,57,161","Data Science salaries at Express Analytics can range from ₹2,33,855-₹2,57,161",NA,NA,4.2,NA,NA,NA,NA,NA,NA,Pune
"Bonita Springs, FL",1 to 50 Employees,2014,Company - Private,IT Services,Unknown / Non-Applicable,Comsense Technologies,Comsense Technologies Data Science Salaries,"₹ 1,15,492 - ₹ 2,12,878",NA,NA,"₹1,15,492-₹2,12,878","Data Science salaries at Comsense Technologies can range from ₹1,15,492-₹2,12,878",NA,NA,4.4,100%,100%,,,,,Pune
"Dublin, Ireland",10000+ Employees,1989,Company - Public (ACN),Consulting,$10+ billion (USD),Accenture,Accenture Senior Data Scientist Salaries in Pune Area,"₹ 10,17,499 - ₹ 10,98,401","₹ 1,23,669",NA,"₹10,17,499-₹10,98,401","Senior Data Scientist salaries at Accenture can range from ₹10,17,499-₹10,98,401",NA,NA,4,70%,13%,17%,37%,29%,12%,Pune
"Pune, India",5001 to 10000 Employees,2001,Company - Public (504067),IT Services,$500 million to $1 billion (USD),Zensar Technologies,Zensar Technologies Senior Data Scientist Salaries in Pune Area,"₹ 13,87,728 - ₹ 15,00,048",NA,NA,"₹13,87,728-₹15,00,048","Senior Data Scientist salaries at Zensar Technologies can range from ₹13,87,728-₹15,00,048",NA,NA,3.5,67%,18%,15%,40%,19%,13%,Pune
"Pune, India",1001 to 5000 Employees,null,Company - Private,Lending,$10+ billion (USD),Bajaj Finance,Bajaj Finance Senior Data Scientist Salaries in Pune Area,"₹ 19,24,660 - ₹ 20,97,740",NA,NA,"₹19,24,660-₹20,97,740","Senior Data Scientist salaries at Bajaj Finance can range from ₹19,24,660-₹20,97,740",NA,NA,3.8,69%,15%,16%,42%,23%,19%,Pune
"Pune, India",1001 to 5000 Employees,2001,Company - Private,Insurance Operators,$25 to $50 million (USD),Bajaj Allianz General Insurance Co,Bajaj Allianz General Insurance Co Senior Data Scientist Monthly Pay in Pune Area,"₹ 1,00,350 - ₹ 1,09,772",NA,NA,"₹1,00,350-₹1,09,772","Senior Data Scientist salaries at Bajaj Allianz General Insurance Co can range from ₹1,00,350-₹1,09,772",NA,NA,3.8,77%,7%,17%,34%,22%,17%,Pune
"Pune, India",1001 to 5000 Employees,null,Company - Public (BAJAJFINS),Insurance Operators,$1 to $2 billion (USD),BFS,BFS Senior Data Scientist Salaries in Pune Area,"₹ 6,75,537 - ₹ 7,32,223",NA,NA,"₹6,75,537-₹7,32,223","Senior Data Scientist salaries at BFS can range from ₹6,75,537-₹7,32,223",NA,NA,3.6,46%,23%,31%,38%,23%,23%,Pune
"Mumbai, India",1 to 50 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,vPhrase,vPhrase Senior Data Scientist Monthly Pay in Pune Area,"₹ 48,442 - ₹ 52,653",NA,NA,"₹48,442-₹52,653","Senior Data Scientist salaries at vPhrase can range from ₹48,442-₹52,653",NA,NA,3.8,58%,25%,17%,64%,9%,9%,Pune
"Tampa, FL",51 to 200 Employees,2018,Company - Private,IT Services,$5 to $10 million (USD),Blackstraw,Blackstraw Senior Data Scientist Salaries,"₹ 23,71,465","₹ 2,10,136","₹ 25,71,465","₹23,71,464","The typical Blackstraw Senior Data Scientist salary is ₹23,71,464","₹3,200K","₹1,824K",3.9,100%,50%,25%,25%,,,Pune
"Bangalore, India",10000+ Employees,1981,Company - Public (INFY),IT Services,$10+ billion (USD),Infosys,Infosys Junior Data Scientist Salaries in Pune Area,"₹ 9,74,778 - ₹ 10,63,606",NA,NA,"₹9,74,778-₹10,63,606","Junior Data Scientist salaries at Infosys can range from ₹9,74,778-₹10,63,606",NA,NA,3.8,77%,9%,15%,55%,21%,12%,Pune
"Bangalore, India",201 to 500 Employees,null,Company - Private,Film Production & Distribution,Unknown / Non-Applicable,Fresherworld.com,Fresherworld.com Junior Data Scientist Salaries,"₹ 5,80,380 - ₹ 6,28,674",NA,NA,,Junior Data Scientist salaries at Fresherworld,NA,NA,4.1,57%,15%,28%,66%,18%,7%,Pune
"Zürich, Switzerland",10000+ Employees,1862,Company - Public (UBS),Investment Banking & Asset Management,$10+ billion (USD),UBS,UBS Data Analyst/Data Scientist Salaries in Pune Area,"₹ 12,81,737 - ₹ 13,96,669",NA,NA,"₹12,81,737-₹13,96,669","Data Analyst/Data Scientist salaries at UBS can range from ₹12,81,737-₹13,96,669",NA,NA,3.8,60%,13%,27%,56%,16%,11%,Pune
"Bangalore, India",10000+ Employees,1981,Company - Public (INFY),IT Services,$10+ billion (USD),Infosys,Infosys Lead Data Scientist Salaries in Pune Area,"₹ 16,56,391 - ₹ 17,86,405","₹ 1,73,121",NA,"₹16,56,391-₹17,86,405","Lead Data Scientist salaries at Infosys can range from ₹16,56,391-₹17,86,405",NA,NA,3.8,77%,9%,15%,55%,21%,12%,Pune
"Bangalore, India",10000+ Employees,1945,Company - Public (WIT),IT Services,$5 to $10 billion (USD),Wipro,Wipro Lead Data Scientist Salaries in Pune Area,"₹ 11,96,297 - ₹ 13,14,354",NA,NA,"₹11,96,297-₹13,14,354","Lead Data Scientist salaries at Wipro can range from ₹11,96,297-₹13,14,354",NA,NA,3.7,70%,13%,17%,44%,23%,11%,Pune
"New York, NY",10000+ Employees,1784,Company - Public (BK),Investment Banking & Asset Management,$10+ billion (USD),BNY Mellon,BNY Mellon Lead Data Scientist Salaries in Pune Area,"₹ 15,57,806 - ₹ 17,17,996","₹ 21,285",NA,"₹15,57,806-₹17,17,996","Lead Data Scientist salaries at BNY Mellon can range from ₹15,57,806-₹17,17,996",NA,NA,3.5,65%,16%,20%,44%,14%,14%,Pune
"Pune, India",1001 to 5000 Employees,null,Company - Public (BAJAJFINS),Insurance Operators,$1 to $2 billion (USD),BFS,BFS Lead Data Scientist Salaries in Pune Area,"₹ 23,06,880 - ₹ 25,08,552","₹ 6,00,000",NA,"₹23,06,880-₹25,08,552","Lead Data Scientist salaries at BFS can range from ₹23,06,880-₹25,08,552",NA,NA,3.6,46%,23%,31%,38%,23%,23%,Pune
"Singapore, Singapore",51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Knorex,Knorex Associate Data Scientist Salaries in Pune Area,"₹ 2,95,119 - ₹ 3,20,335",₹ 3,NA,"₹2,95,119-₹3,20,335","Associate Data Scientist salaries at Knorex can range from ₹2,95,119-₹3,20,335",NA,NA,3.3,36%,21%,43%,83%,8%,8%,Pune
"Dallas, TX",5001 to 10000 Employees,2000,Subsidiary or Business Segment,Consulting,$500 million to $1 billion (USD),Hitachi Consulting,Hitachi Consulting Data Science Consultant Salaries in Pune Area,"₹ 17,30,682 - ₹ 18,60,210",NA,NA,"₹17,30,682-₹18,60,210","Data Science Consultant salaries at Hitachi Consulting can range from ₹17,30,682-₹18,60,210",NA,NA,3.6,63%,18%,20%,50%,19%,11%,Pune
"Northbrook, IL",1001 to 5000 Employees,2004,Company - Private,Consulting,Unknown / Non-Applicable,Mu Sigma,Mu Sigma Data Scientist Salaries in Bangalore Area,"₹ 6,12,783","₹ 1,28,191","₹ 6,77,848","₹6,12,783","The typical Mu Sigma Data Scientist salary is ₹6,12,783","₹4,727K",₹298K,3.3,70%,12%,19%,77%,12%,5%,Banglore
"Bangalore, India",10000+ Employees,1911,Company - Public (IBM),IT Services,$10+ billion (USD),IBM,IBM Data Scientist Salaries in Bangalore Area,"₹ 11,06,571","₹ 47,661","₹ 11,06,571","₹11,06,571","The typical IBM Data Scientist salary is ₹11,06,571","₹3,762K",₹291K,3.9,69%,12%,19%,43%,22%,14%,Banglore
"New York, NY",201 to 500 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Impact Analytics,Impact Analytics Data Scientist Salaries in Bangalore Area,"₹ 6,51,706","₹ 90,653","₹ 7,23,141","₹6,51,706","The typical Impact Analytics Data Scientist salary is ₹6,51,706",₹900K,₹519K,4,48%,32%,19%,38%,38%,10%,Banglore
"Dublin, Ireland",10000+ Employees,1989,Company - Public (ACN),Consulting,$10+ billion (USD),Accenture,Accenture Data Scientist Salaries in Bangalore Area,"₹ 8,58,294","₹ 2,02,716","₹ 8,67,282","₹8,58,294","The typical Accenture Data Scientist salary is ₹8,58,294","₹3,000K",₹420K,4,70%,13%,17%,37%,29%,12%,Banglore
"Bangalore, India",10000+ Employees,1981,Company - Public (INFY),IT Services,$10+ billion (USD),Infosys,Infosys Data Scientist Salaries in Bangalore Area,"₹ 9,40,606","₹ 89,103","₹ 10,25,449","₹9,40,606","The typical Infosys Data Scientist salary is ₹9,40,606","₹3,244K",₹351K,3.8,77%,9%,15%,55%,21%,12%,Banglore
"Teaneck, NJ",10000+ Employees,1994,Company - Public (CTSH),Consulting,$10+ billion (USD),Cognizant Technology Solutions,Cognizant Technology Solutions Data Scientist Salaries in Bangalore Area,"₹ 9,75,149","₹ 1,20,624","₹ 9,75,149","₹9,75,149","The typical Cognizant Technology Solutions Data Scientist salary is ₹9,75,149","₹1,737K",₹330K,3.7,73%,13%,14%,43%,23%,10%,Banglore
"Bangalore, India",501 to 1000 Employees,2012,Company - Private,Education Training Services,Unknown / Non-Applicable,Embibe,Embibe Data Scientist Salaries in Bangalore Area,"₹ 13,77,597","₹ 3,36,066","₹ 13,77,597","₹13,77,597","The typical Embibe Data Scientist salary is ₹13,77,597","₹1,852K",₹863K,4.1,59%,37%,4%,32%,19%,19%,Banglore
"Leuven, Belgium",10000+ Employees,1852,Company - Public (BUD),Food & Drink Manufacturing,$10+ billion (USD),Anheuser-Busch InBev,Anheuser-Busch InBev Data Scientist Salaries in Bangalore Area,"₹ 16,04,779","₹ 2,50,000","₹ 17,52,025","₹16,04,779","The typical Anheuser-Busch InBev Data Scientist salary is ₹16,04,779","₹1,900K","₹1,272K",3.6,60%,19%,22%,63%,22%,5%,Banglore
"New York, NY",1001 to 5000 Employees,2000,Company - Private,Consulting,$100 to $500 million (USD),Fractal,Fractal Data Scientist Salaries in Bangalore Area,"₹ 13,85,702","₹ 1,49,648","₹ 14,92,500","₹13,85,702","The typical Fractal Data Scientist salary is ₹13,85,702","₹2,000K",₹837K,4,72%,19%,9%,48%,20%,15%,Banglore
"London, United Kingdom",501 to 1000 Employees,2010,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,MiQ,MiQ Data Scientist Salaries in Bangalore Area,"₹ 15,59,783","₹ 1,56,957","₹ 16,60,942","₹15,59,783","The typical MiQ Data Scientist salary is ₹15,59,783","₹1,937K","₹1,046K",4.1,41%,44%,15%,32%,22%,15%,Banglore
"Bangalore, India",51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,$1 to $5 million (USD),Flutura,Flutura Data Scientist Salaries in Bangalore Area,"₹ 7,41,261","₹ 37,070","₹ 7,49,778","₹7,41,261","The typical Flutura Data Scientist salary is ₹7,41,261","₹1,464K",₹314K,4.4,65%,17%,17%,23%,23%,18%,Banglore
"Stockholm, Sweden",10000+ Employees,1876,Company - Public (ERIC),Telecommunications Services,$10+ billion (USD),Ericsson-Worldwide,Ericsson-Worldwide Data Scientist Salaries in Bangalore Area,"₹ 11,94,178","₹ 1,05,592","₹ 11,94,178","₹11,94,178","The typical Ericsson-Worldwide Data Scientist salary is ₹11,94,178","₹3,508K",₹303K,4.1,73%,12%,16%,35%,24%,16%,Banglore
"Charlotte, NC",1 to 50 Employees,2007,Company - Private,Computer Hardware & Software,$5 to $10 million (USD),Fuzzy Logix,Fuzzy Logix Data Scientist Salaries in Bangalore Area,"₹ 15,13,208","₹ 1,29,144","₹ 17,02,702","₹15,13,208","The typical Fuzzy Logix Data Scientist salary is ₹15,13,208","₹2,194K",₹925K,3.6,75%,25%,100%,,,,Banglore
"Redmond, WA",10000+ Employees,1975,Company - Public (MSFT),Computer Hardware & Software,$10+ billion (USD),Microsoft,Microsoft Data Scientist Salaries in Bangalore Area,"₹ 14,08,364","₹ 1,73,121","₹ 18,09,359","₹14,08,364","The typical Microsoft Data Scientist salary is ₹14,08,364","₹4,400K",₹196K,4.4,66%,13%,21%,33%,30%,15%,Banglore
"Palo Alto, CA",10000+ Employees,1939,Company - Public (HPQ),Computer Hardware & Software,Unknown / Non-Applicable,HP Inc.,HP Inc. Data Scientist Salaries in Bangalore Area,"₹ 14,85,855","₹ 1,02,131","₹ 15,00,000",,The typical HP Inc,"₹1,824K",₹700K,4.2,73%,13%,14%,45%,17%,15%,Banglore
"Paris, France",10000+ Employees,1864,Company - Public (GLE),Investment Banking & Asset Management,$10+ billion (USD),Société Générale,Société Générale Data Scientist Salaries in Bangalore Area,"₹ 17,18,752","₹ 1,26,015","₹ 18,49,059","₹17,18,752","The typical Société Générale Data Scientist salary is ₹17,18,752","₹1,913K","₹1,413K",3.7,62%,17%,21%,42%,21%,11%,Banglore
"Mountain View, CA",10000+ Employees,1998,Company - Public (GOOG),Internet,$10+ billion (USD),Google,Google Data Scientist Salaries in Bangalore Area,"₹ 13,90,200",NA,"₹ 13,90,200","₹13,90,200","The typical Google Data Scientist salary is ₹13,90,200","₹7,107K",₹272K,4.5,62%,15%,23%,44%,22%,22%,Banglore
"Seattle, WA",10000+ Employees,1994,Company - Public (AMZN),Internet,$10+ billion (USD),Amazon,Amazon Data Scientist Salaries in Bangalore Area,"₹ 13,73,954","₹ 15,07,169","₹ 13,73,954","₹13,73,954","The typical Amazon Data Scientist salary is ₹13,73,954","₹4,397K",₹255K,4.3,59%,19%,23%,54%,15%,12%,Banglore
"Bangalore, India",10000+ Employees,1945,Company - Public (WIT),IT Services,$5 to $10 billion (USD),Wipro,Wipro Data Scientist Salaries in Bangalore Area,"₹ 7,58,984","₹ 1,68,850","₹ 7,58,984","₹7,58,984","The typical Wipro Data Scientist salary is ₹7,58,984","₹2,748K",₹214K,3.7,70%,13%,17%,44%,23%,11%,Banglore
"New York, NY",10000+ Employees,1850,Company - Private,Accounting,$10+ billion (USD),Deloitte,Deloitte Data Scientist Salaries in Bangalore Area,"₹ 9,18,398",₹ 10,"₹ 9,18,398","₹9,18,398","The typical Deloitte Data Scientist salary is ₹9,18,398","₹1,300K",₹652K,3.9,71%,11%,18%,37%,36%,11%,Banglore
"Bangalore, India",10000+ Employees,2007,Company - Private,Internet,$5 to $10 billion (USD),Flipkart,Flipkart Data Scientist Salaries in Bangalore Area,"₹ 24,89,491","₹ 2,48,949","₹ 26,53,150","₹24,89,491","The typical Flipkart Data Scientist salary is ₹24,89,491","₹2,653K",₹133K,4.2,58%,26%,16%,29%,18%,17%,Banglore
"Campbell, CA",10000+ Employees,2000,Company - Private,IT Services,$100 to $500 million (USD),[24]7.ai,[24]7.ai Data Scientist Salaries in Bangalore Area,"₹ 18,79,854","₹ 1,37,311","₹ 18,79,854",,The typical [24]7,"₹2,257K","₹1,097K",4.3,56%,24%,20%,23%,21%,16%,Banglore
"Amsterdam, Netherlands",10000+ Employees,1891,Company - Public (PHG),Healthcare Services & Hospitals,$10+ billion (USD),Philips,Philips Data Scientist Salaries in Bangalore Area,"₹ 15,69,745","₹ 1,53,510","₹ 16,72,823","₹15,69,745","The typical Philips Data Scientist salary is ₹15,69,745","₹2,331K","₹1,256K",4,67%,16%,16%,48%,16%,13%,Banglore
"Bangalore, India",1001 to 5000 Employees,1994,Company - Public (WMT),General Merchandise & Superstores,$10+ billion (USD),Walmart,Walmart Data Scientist Salaries in Bangalore Area,"₹ 25,09,441","₹ 4,40,175","₹ 29,50,585","₹25,09,441","The typical Walmart Data Scientist salary is ₹25,09,441","₹3,662K","₹1,869K",3.4,63%,14%,23%,70%,14%,5%,Banglore
"New York, NY",10000+ Employees,1923,Company - Public (NLSN),Enterprise Software & Network Solutions,$5 to $10 billion (USD),Nielsen,Nielsen Data Scientist Salaries in Bangalore Area,"₹ 6,98,999",NA,"₹ 6,98,999","₹6,98,999","The typical Nielsen Data Scientist salary is ₹6,98,999",₹895K,₹584K,3.7,65%,14%,21%,46%,25%,14%,Banglore
"Bangalore, India",51 to 200 Employees,2015,Company - Private,Consulting,Unknown / Non-Applicable,Thoucentric,Thoucentric Data Scientist Salaries in Bangalore Area,"₹ 7,11,737","₹ 50,679","₹ 7,31,644","₹7,11,737","The typical Thoucentric Data Scientist salary is ₹7,11,737","₹1,448K",₹530K,4.3,57%,21%,21%,40%,30%,20%,Banglore
"New York, NY",10000+ Employees,1997,Company - Public (G),IT Services,$2 to $5 billion (USD),Genpact,Genpact Data Scientist Salaries in Bangalore Area,"₹ 9,54,804","₹ 98,060","₹ 10,15,364","₹9,54,804","The typical Genpact Data Scientist salary is ₹9,54,804","₹1,200K",₹542K,3.8,66%,18%,16%,24%,21%,15%,Banglore
"Bangalore, India",201 to 500 Employees,2011,Company - Private,Consulting,Unknown / Non-Applicable,Affine,Affine Data Scientist Salaries in Bangalore Area,"₹ 10,99,358","₹ 1,21,894","₹ 10,99,358","₹10,99,358","The typical Affine Data Scientist salary is ₹10,99,358","₹2,109K",₹609K,3.9,55%,31%,14%,42%,19%,15%,Banglore
"Bangalore, India",5001 to 10000 Employees,2011,Company - Private,Internet,Unknown / Non-Applicable,Ola,Ola Data Scientist Salaries in Bangalore Area,"₹ 22,00,000","₹ 5,12,136","₹ 22,00,000","₹22,00,000","The typical Ola Data Scientist salary is ₹22,00,000","₹4,042K","₹1,319K",3.1,47%,43%,11%,23%,23%,22%,Banglore
"Mumbai, India",5001 to 10000 Employees,2010,Company - Private,"Cable, Internet & Telephone Providers",Unknown / Non-Applicable,Jio,Jio Data Scientist Salaries in Bangalore Area,"₹ 13,26,575","₹ 1,64,904","₹ 14,70,941","₹13,26,575","The typical Jio Data Scientist salary is ₹13,26,575","₹1,759K",₹746K,3.7,63%,17%,20%,44%,18%,17%,Banglore
"Redwood City, CA",10000+ Employees,1977,Company - Public (ORCL),Enterprise Software & Network Solutions,$10+ billion (USD),Oracle,Oracle Data Scientist Salaries in Bangalore Area,"₹ 14,57,006",NA,"₹ 14,57,006","₹14,57,006","The typical Oracle Data Scientist salary is ₹14,57,006","₹2,895K",₹800K,3.7,67%,15%,18%,29%,27%,19%,Banglore
"San Francisco, CA",51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,$25 to $50 million (USD),Noodle.ai,Noodle.ai Data Scientist Salaries in Bangalore Area,"₹ 16,27,874","₹ 1,37,420","₹ 16,27,874",,The typical Noodle,"₹2,885K","₹1,285K",3.9,47%,40%,13%,64%,21%,7%,Banglore
